from,to,cost
5,18,8.698
5,25,10.842
5,4,7.734
5,8,15.554
5,19,7.443
5,31,10.078
5,22,5.551
3,30,7.261
3,0,10.639
3,1,12.01
3,28,6.453
18,4,7.198
18,15,19.305
18,0,10.605
18,9,12.134
18,27,15.228
18,19,5.441
18,22,9.939
25,8,13.062
25,22,10.665
25,13,13.839
10,1,14.581
10,17,9.921
10,28,8.532
10,29,10.225
7,11,14.604
7,23,14.068
4,14,12.694
4,15,18.888
4,19,8.947
4,31,12.221
14,15,23.562
14,21,9.255
14,12,15.236
14,31,9.417
11,20,13.065
11,23,12.835
11,6,16.064
15,30,11.962
15,0,12.03
15,12,28.724
15,24,16.911
30,0,12.039
30,1,11.34
30,6,14.241
0,27,10.043
1,17,11.376
1,20,14.4
1,28,11.0
1,26,14.847
1,6,14.412
8,2,4.93
8,31,8.61
8,13,9.371
17,26,11.147
20,23,13.936
20,26,14.758
20,6,16.278
28,29,7.911
21,2,18.35
21,12,14.962
21,31,15.001
21,13,23.171
2,31,9.16
2,13,9.952
23,26,21.778
29,16,9.411
29,27,9.912
9,16,10.092
9,27,11.707
9,22,6.978
16,27,5.09
12,24,12.99
