from,to,cost
5,17,24.426
5,1,9.075
5,16,19.002
5,3,15.089
12,4,12.709
12,0,10.295
12,15,12.821
10,7,8.703
10,11,7.835
10,0,8.634
10,15,9.786
19,17,10.205
19,14,9.847
19,4,9.918
19,2,5.541
17,14,15.081
17,16,22.569
14,13,15.351
14,16,8.478
14,6,9.242
14,2,11.099
7,15,3.928
9,11,6.192
9,18,14.031
1,3,21.321
13,16,13.501
13,18,9.942
13,6,9.996
11,18,16.257
11,6,23.206
11,4,23.098
11,8,17.473
11,0,13.904
16,3,13.496
18,6,10.99
6,2,6.2
6,8,6.643
4,2,6.451
4,8,7.654
4,0,15.339
2,8,5.411
0,15,9.379
